train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
91,7900;0,9067;95,0100;0,6403;95,3000;0;0,0000
90,0160;0,9531;95,1800;0,6452;94,8500;0;0,0000
92,4040;0,8861;95,7500;0,6206;95,2700;0;0,0000
90,3480;0,9886;95,3500;0,6405;95,2400;0;0,0000
90,0040;0,9445;95,3400;0,6440;95,4500;0;0,0000
92,3080;0,9358;95,0100;0,6395;95,5500;0;0,0000
85,7540;1,0154;95,0500;0,6616;95,3500;0;0,0000
90,1920;0,9530;95,2200;0,6464;95,6000;0;0,0000
91,4820;0,9388;95,3400;0,6611;95,5200;0;0,0000
90,3440;0,9430;95,4400;0,6419;95,3700;0;0,0000
91,3340;0,8944;95,3700;0,6287;95,4800;0;0,0000
91,1760;0,9287;95,3400;0,6323;95,3500;0;0,0000
89,3900;0,9808;95,3500;0,6435;95,1300;0;0,0000
90,6320;0,9687;95,3300;0,6452;95,5500;0;0,0000
89,6480;0,9496;95,3600;0,6352;95,3600;0;0,0000
89,6020;0,9963;95,5000;0,6473;94,9700;0;0,0000
93,2600;0,9121;95,8200;0,6444;95,3900;0;0,0000
89,3320;0,9611;95,5900;0,6304;95,1200;0;0,0000
90,8660;0,9320;95,5400;0,6243;95,5800;0;0,0000
91,8700;0,9335;95,7100;0,6321;95,3900;0;0,0000
91,2860;0,9367;95,5100;0,6273;95,4400;0;0,0000
92,1740;0,9319;95,6400;0,6231;95,3400;0;0,0000
89,6400;0,9610;95,5800;0,6279;95,6000;0;0,0000
90,2060;0,9368;95,7300;0,6310;95,5900;0;0,0000
92,9340;0,9033;95,6300;0,6197;95,7100;0;0,0000
89,9280;0,9623;95,5800;0,6382;95,4400;0;0,0000
89,1600;0,9719;95,6800;0,6344;95,5100;0;0,0000
91,2300;0,9379;95,8200;0,6190;95,6800;0;0,0000
91,4940;0,9145;95,8400;0,6199;95,7900;0;0,0000
89,9000;0,9329;95,6300;0,6324;95,6500;0;0,0000
90,9240;0,9159;95,8400;0,6295;95,7500;0;0,0000
91,6860;0,9495;95,7900;0,6221;95,6800;0;0,0000
92,1580;0,8942;95,8100;0,6124;95,8100;0;0,0000
91,2520;0,9408;95,8000;0,6179;95,8100;0;0,0000
89,4980;0,9623;95,6700;0,6351;95,6500;0;0,0000
93,3420;0,9069;95,8100;0,6273;95,6400;0;0,0000
91,0540;0,9349;95,9100;0,6179;95,8200;0;0,0000
91,3240;0,9273;95,8600;0,6206;95,8500;0;0,0000
91,4680;0,9648;95,7700;0,6222;95,7100;0;0,0000
